DATAFLOW,LAST UPDATE,freq,unit,airpol,src_crf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Belgium,2022,102.97658,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Belgium,2023,98.22123,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2014,57.33386,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2015,60.49588,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2016,57.86604,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2017,59.65782,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2018,55.29483,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2019,53.98726,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2020,47.98531,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2021,54.10155,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2022,58.45965,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Bulgaria,2023,45.36492,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2014,8.2791,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2015,8.32588,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2016,8.77007,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2017,8.93554,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2018,8.82581,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2019,8.42426,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2020,8.06981,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2021,8.18503,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2022,8.34285,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Cyprus,2023,8.5035,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Czechia,2014,126.00264,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Million tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Total (excluding LULUCF and memo items),Czechia,2015,126.41542,,
